a,e,i,o,u
-11.108463,-5.642672,-34.436302,-38.797153,-93.062904
48.45902,36.258526,37.622917,67.782875,97.58622
-51.352596,-39.86797,-7.2866006,-33.484486,4.9764705
-19.34542,1.9204286,22.413052,-23.939775,-10.293949
-13.396031,-22.314459,-23.884144,-37.44649,-34.10332
16.80569,-3.9867344,-16.726706,12.7739725,-17.312754
-6.7925773,-11.472788,-11.932294,7.5468955,-4.6124215
5.203572,14.451375,-6.859693,8.441469,-6.5324206
-5.342231,0.3820136,-5.9150467,-8.448429,1.4470929
3.0362208,0.42034212,-0.024093445,0.38314682,-0.41544843
-12.72004,-11.209535,-6.771468,-13.391487,-8.964719
0.30396742,-0.4918513,6.1240225,7.7413607,3.4080694
-12.015914,-8.456789,-8.027311,-10.839127,-6.5543494
